titulo,url,resumen
,https://www.portafolio.co//economia/finanzas/las-zonas-de-colombia-donde-vive-la-clase-alta-segun-la-inteligencia-artificial-627630,"Las personas de clase alta en Colombia viven en ciudades importantes y barrios exclusivos, con infraestructura de lujo y seguridad privada. Los territorios donde suelen establecer su hogar son Bogotï¿½, Medellï¿½n, Cali, Barranquilla y Cartagena."
,https://www.portafolio.co//economia/infraestructura/estadio-metropolitano-de-barranquilla-sera-ampliado-para-recibir-a-mas-de-60-000-asistentes-627862,"El alcalde de Barranquilla, Alejandro Char, anunciÃ³ que el Estadio Metropolitano Roberto Melï¿½ndez se ampliarÃ¡ de 40.000 a 65.000 espectadores para poder recibir grandes conciertos y eventos internacionales. El objetivo es convertir la ciudad en un escenario referente para eventos de talla mundial."
,https://www.portafolio.co//economia/crecimiento/moody-s-prende-alertas-por-la-situacion-fiscal-de-colombia-para-2025-627755,"**Moody's evalÃºa la situaciÃ³n financiera de Colombia:**

* La calificadora de riesgo ha actualizado su anÃ¡lisis financiero de Colombia y ha mantenido la calificaciÃ³n de ""Baa3"", pero ha emitido alertas sobre los indicadores fiscales y la deuda pÃºblica.
* Los ingresos del gobierno han resultado mÃ¡s bajos de los esperados, lo que ha empeorado la situaciÃ³n fiscal.
* Los costos de endeudamiento han aumentado, lo que ha empeorado la relaciÃ³n deuda/PIB.
* Moody's argumenta que el gobierno debe recortar los gastos para cumplir con la regla fiscal.
* La incertidumbre polÃ­tica y los cambios regulatorios han afectado negativamente sectores estratÃ©gicos.
* La persistente volatilidad polÃ­tica podrÃ­a obstaculizar la capacidad del gobierno para gestionar las cuentas fiscales."
,https://www.portafolio.co//negocios/empresas/las-empresas-mas-valiosas-del-mundo-en-lo-que-va-de-2025-627552,Resumen no disponible.
,https://www.portafolio.co//negocios/industrias/oro-plata-y-cobre-por-que-estos-metales-serian-los-ganadores-de-los-arancales-de-trump-627545,"- La administraciï¿½n de Trump implementï¿½ aranceles recï¿½procos a varios paises.


- Los aranceles han provocado incertidumbre en los mercados y han impulsado las compras de activos refugio.


- El oro, la plata y el cobre se han visto beneficiados por la situaciÃ³n.


- El oro ha alcanzado un nuevo mï¿½ximo histï¿½rico y ha mantenido su estabilidad como activo refugio."
,https://www.portafolio.co//negocios/empresas/cofundador-de-rappi-sebastian-mejia-anuncio-que-se-aleja-de-la-compania-627848,"- Sebastiï¿½n Mejï¿½a, cofundador y presidente de Rappi, se retira de la empresa.
- La decisiï¿½n se tomÃ³ despuÃ©s de casi una dï¿½cada en la empresa.
- Mejï¿½a se mantiene en la junta directiva y se compromete a seguir apoyando a la empresa.
- Afirma que ha llegado el momento de pasar a un nuevo capÃ­tulo en su vida y construir algo que refleje la persona que se ha convertido."
,https://www.portafolio.co//mis-finanzas/vivienda/subsidios-de-vivienda-cuales-son-los-activos-este-ano-y-como-postularse-627828,"Cerca del 40% de los hogares colombianos ya cuentan con vivienda propia. Para apoyar el acceso a la vivienda, se ofrecen subsidios disponibles para quienes pertenecen al sistema de compensaciï¿½n familiar y tienen ingresos hasta 4 salarios mï¿½nimos. Los requisitos para acceder al subsidio incluyen estar afiliado a una caja de compensaciï¿½n familiar y cumplir con los ingresos y condiciones establecidos."
,https://www.portafolio.co//mis-finanzas/jubilacion/cuales-son-las-pensiones-que-existen-en-colombia-627805,Resumen no disponible.
,https://www.portafolio.co//mis-finanzas/ahorro/regresa-el-burger-master-en-este-2025-todo-lo-que-tiene-que-saber-627845,"- El Burger Master regresa a Bogotï¿½ en su 10Âª ediciÃ³n el 28 de abril al 4 de mayo.


- El precio de las hamburguesas es de $19.000 COP.


- El evento se dedica a aquellos que sobrevivieron a las dificultades.


- ParticiparÃ¡n mÃ¡s de 510 hamburguesas en 20 ciudades de Colombia."
,https://www.portafolio.co//opinion/editorial/mas-soluciones-menos-ataques-627833,Resumen no disponible.
